Customer,Design Capacity (MMscfd),Nominations (MMscfd),GDZ,Franchise
GASLINK,95.0,82.47,REGIONAL GAS DISTRIBUTION LAGOS,
FALCON,20.0,15.55,REGIONAL GAS DISTRIBUTION LAGOS,
SNG,10.0,10.0,REGIONAL GAS DISTRIBUTION LAGOS,
WAPCO SHAG,2.5,0.43,REGIONAL GAS DISTRIBUTION LAGOS,
WAPCO EWEK,50.0,41.60,REGIONAL GAS DISTRIBUTION LAGOS,
IBESHE CEMENT,110.0,101.28,REGIONAL GAS DISTRIBUTION LAGOS,
LPL G/PWR,12.0,10.5,REGIONAL GAS DISTRIBUTION LAGOS,NGML-NIPCO UJV
OLAM,8.5,7.2,REGIONAL GAS DISTRIBUTION LAGOS,NGML-NIPCO UJV
BREEZE,5.0,4.5,REGIONAL GAS DISTRIBUTION LAGOS,NGML-NIPCO UJV
NESTLE,15.0,13.8,REGIONAL GAS DISTRIBUTION LAGOS,NGML-NIPCO UJV
AIML,6.0,5.3,REGIONAL GAS DISTRIBUTION LAGOS,NGML-NIPCO UJV
APPLE&PEARS,3.5,2.8,REGIONAL GAS DISTRIBUTION LAGOS,TRANSIT GAS FRANCHISE
WASIL,4.0,3.5,REGIONAL GAS DISTRIBUTION LAGOS,TRANSIT GAS FRANCHISE
URAGA POWER,8.0,7.0,REGIONAL GAS DISTRIBUTION LAGOS,TRANSIT GAS FRANCHISE
EMZOR,2.5,2.1,REGIONAL GAS DISTRIBUTION LAGOS,TRANSIT GAS FRANCHISE
RITE FOODS,5.5,4.8,REGIONAL GAS DISTRIBUTION LAGOS,TRANSIT GAS FRANCHISE
